Date,GDPC1,PCECC96,PRFIx,PNFIx,EXPGSC1,IMPGSC1,GCEC1,M318501Q027NBEA,W006RC1Q027SBEA,GDPCTPI,PCEPI,PCEPILFE,CPIAUCSL,CPILFESL,COMPRNFB,OPHNFB,DTFP_UTIL,PAYEMS,UNRATE,INDPRO,CUMFNS,HOUST,DSPIC96,UMCSENT,FEDFUNDS,TB3MS,DGS2,DGS5,DGS10,MPRIME,AAA,BAA,TWEXMMTH,S&P 500,WTISPLC,
trans,100*log(),100*log(),100*log(),100*log(),100*log(),100*log(),100*log(),no trans,100*log(),100*log(),100*log(),100*log(),100*log(),100*log(),no trans,no trans,no trans,100*log(),no trans,100*log(),no trans,100*log(),100*log(),no trans,no trans,no trans,no trans,no trans,no trans,no trans,no trans,no trans,100*log(),100*log(),100*log(),
3/1/1975,862.1859466,817.4014477,558.0605292,596.9936217,565.3204714,570.7654967,737.0464871,-17.994,521.463,337.1562577,332.4184339,334.289714,396.2082205,396.4615456,69.454,47.771,9.90,1125.095012,8.266666667,370.867146,73.51156667,688.3804058,833.7739518,57.6,6.3,5.8,,7.28,7.54,8.98,8.81,10.6467,476.7391071,436.7081764,241.2335957,
6/1/1975,862.8984982,819.0329168,560.7518974,594.5614569,562.3616704,562.4252136,736.1977535,-12.025,501.434,338.5948371,333.636252,335.7999883,397.4058396,398.0304513,70.093,48.536,4.21,1124.550343,8.866666667,369.5466048,71.92563333,697.634807,838.2960601,72.8,5.4,5.4,,7.74,8.05,7.32,8.5567,10.63,477.4845448,448.9459626,241.2335957,
9/1/1975,864.5955731,820.4441622,567.0829439,595.6214759,560.6603216,570.4109088,738.0485812,-18.529,526.070,340.3461483,335.4920723,337.2912212,399.3910165,399.3295726,69.926,49.129,-1.61,1125.221417,8.466666667,371.961394,73.84606667,713.089883,836.8298674,75.7,6.2,6.3,,8.20,8.29,7.56,8.5333,10.5833,481.7074817,447.3046944,241.2335957,
12/1/1975,865.9334909,821.5137647,571.2656649,596.8076415,566.1601919,575.6112398,738.9208115,-26.563,529.182,342.0019136,337.1551131,338.9057322,401.2169954,401.0358906,69.778,49.173,-4.38,1126.121953,8.3,374.1225985,75.32416667,720.1667901,837.6121058,75.6,5.4,5.6,,7.85,8.06,7.58,8.4633,10.58,482.8049702,448.9908594,241.2335957,
3/1/1976,868.1571391,823.4933989,580.3494467,598.9271394,565.4676261,581.6876013,739.0780014,-22.702,532.000,343.0917983,338.2501475,340.4148578,402.356438,402.8916757,70.311,49.902,0.43,1127.452867,7.733333333,377.1454338,77.3502,727.3786318,838.8093867,84.6,4.8,4.9,,7.47,7.75,6.83,8.1833,10.2567,482.8521716,460.0358629,246.4987349,
6/1/1976,868.8875013,824.4092558,582.8064347,600.2463833,566.4705485,585.9275111,737.9590979,2.189,534.594,344.0834675,339.0832743,341.6053153,403.2469159,404.2466301,71.001,50.370,3.34,1128.132963,7.566666667,378.4376738,78.0969,727.9088924,839.3766762,83.3,5.2,5.2,,7.48,7.77,6.90,8.0333,9.8967,483.974416,462.1371237,249.8973907,
9/1/1976,869.4351441,825.4566332,581.2376457,602.4094115,569.3348227,589.9261535,737.666018,-12.701,537.262,345.3505161,340.5908489,343.1608032,404.8300624,405.8717385,71.353,50.492,-0.32,1128.620469,7.733333333,379.7639684,78.68676667,735.0516172,840.1535396,89.7,5.3,5.2,6.63,7.31,7.73,7.09,8.0133,9.62,483.3985622,464.7590582,254.52698,
12/1/1976,870.1579282,826.7457687,592.664732,604.3232416,570.3442417,593.1823348,737.6047445,-22.785,539.364,347.035024,342.1588071,344.7126314,406.2739223,407.2439727,71.828,50.639,3.96,1129.227464,7.766666667,381.5558359,79.3082,743.3272451,840.7861839,87.0,4.9,4.7,5.71,6.45,7.18,6.54,7.9467,9.2133,484.089032,463.0837933,263.188884,
3/1/1977,871.3319029,827.9175568,595.5914828,607.9017902,568.7219394,597.807531,738.4512303,-18.693,543.343,348.6396005,343.9477482,346.380696,408.0921542,408.8773517,71.869,50.963,2.67,1130.248834,7.5,383.5759481,80.6792,751.9873154,841.0097838,87.1,4.7,4.6,6.02,6.78,7.36,6.25,8.1033,9.1067,484.4100469,462.3010104,263.188884,
6/1/1977,873.2578727,828.4583477,605.9973068,610.6284531,571.381201,598.7253192,739.3619954,8.618,548.026,350.2067832,345.6432342,347.8991409,409.8225909,410.4844797,72.071,51.165,-2.66,1131.570954,7.133333333,386.662249,82.8604,755.9385779,841.9448049,90.2,5.2,4.8,6.12,6.83,7.37,6.47,8.45,8.9967,484.013163,459.5456157,263.188884,
9/1/1977,875.0461316,829.3994389,605.6955895,612.6036086,572.154053,597.3219107,739.762771,-12.175,549.890,351.5745561,347.1365858,349.5486839,411.1966164,411.9037175,72.471,51.702,7.12,1132.83654,6.9,387.7390842,83.1817,760.5392365,843.3238955,89.0,5.8,5.5,6.54,6.98,7.36,6.90,8.67,8.83,483.4057212,458.5579536,267.6444862,
12/1/1977,875.0477155,830.8918055,604.4992992,615.6013053,568.895306,598.7310933,739.5240216,-28.784,553.457,353.231336,348.5487467,350.9912265,412.6596606,413.2496328,72.654,51.043,-5.04,1134.009077,6.666666667,388.3644793,83.23873333,763.7877062,845.2178112,84.4,6.5,6.1,7.14,7.38,7.60,7.67,8.7533,8.9433,481.1842834,454.27276,269.7999865,
3/1/1978,875.3655651,831.4520182,605.4293796,616.4740104,571.228952,605.2253861,739.5495064,-25.833,553.190,354.8553603,350.1756389,352.5389465,414.3663687,414.9989486,73.450,51.065,3.64,1135.041438,6.333333333,388.0710513,82.63696667,751.1706881,846.0015954,82.3,6.8,6.4,7.54,7.82,8.01,7.98,9.0267,9.1967,478.0769197,449.2561242,269.7999865,
6/1/1978,879.1577236,833.5673713,610.1169487,623.9353197,581.1458308,605.5422431,742.0265683,13.963,561.841,356.8320695,352.2076853,354.2494377,416.6148294,417.0276267,73.119,52.073,-0.18,1136.836587,6,392.0336354,84.7155,765.6337166,847.0548724,81.5,7.3,6.5,8.00,8.18,8.33,8.30,9.2933,9.47,477.0142104,456.3584358,269.7999865,
9/1/1978,880.1589873,833.9863952,611.2911972,627.2724165,582.2371112,606.8409384,742.9461494,-8.108,566.472,358.582184,353.9499322,355.9501329,418.9149564,419.1672906,73.195,52.107,0.22,1137.866238,6.033333333,392.8726063,84.79696667,761.0522703,847.8279098,80.4,8.1,7.3,8.47,8.43,8.49,9.14,9.39,9.5,472.0407762,462.1666373,269.7999865,
12/1/1978,881.493945,834.7900785,611.1468226,630.4517356,586.1293217,608.2045379,743.8422941,-23.768,571.280,360.5389144,355.8210627,357.7305229,421.2127598,421.3607983,73.574,52.446,-0.77,1138.894074,5.9,394.6206051,85.73366667,762.0541675,848.4835275,73.5,9.6,8.6,9.32,8.84,8.82,10.81,9.29,9.7867,470.7789949,457.6153237,269.7999865,
3/1/1979,881.6734662,835.3066617,608.7474482,632.7270312,586.207599,607.9324314,742.848648,-20.410,572.068,362.3887497,357.6876556,359.0871472,423.7000863,423.6519051,73.773,51.972,-1.08,1139.767173,5.866666667,395.0698698,85.33706667,741.7980723,849.6861224,71.5,10.1,9.4,9.79,9.18,9.11,11.75,10.5433,10.1567,472.0960126,459.8615753,274.1914715,
6/1/1979,881.7801361,835.2417364,607.0049732,632.6306348,586.4678922,608.4708958,743.8182922,21.379,574.775,364.7744911,360.3820715,361.2610174,426.8297869,425.9859001,73.483,51.876,5.09,1140.502098,5.7,394.8519498,84.34883333,752.0595828,848.7819305,66.6,10.2,9.4,9.59,9.11,9.12,11.72,12.1433,10.3933,473.6119498,461.6868493,287.2622576,
9/1/1979,882.5207163,836.2101202,605.7950546,635.5424789,590.0034331,606.9318708,744.1099838,-4.482,577.217,366.8421612,362.8341808,363.0906002,430.0002799,428.5423953,73.167,51.805,-5.46,1141.0686,5.866666667,394.5482926,83.5143,748.9970899,849.2347067,63.9,10.9,9.7,9.53,9.11,9.10,12.12,11.2033,10.3933,471.8489943,466.5637619,324.1941098,
12/1/1979,882.7702724,836.4586153,601.7075275,635.8149498,596.1054307,609.0893506,744.7663864,-24.484,579.185,368.6501629,365.2250047,365.1558269,433.1171841,431.5263419,73.195,51.753,-0.63,1141.39372,5.966666667,394.9354756,82.94143333,735.7343593,849.4061027,62.1,13.6,11.8,11.56,10.65,10.44,15.08,11.5767,11.8167,473.8809073,465.7129608,342.8596356,
3/1/1980,883.0835366,836.3155839,593.6736941,636.8982068,598.8580392,609.1574553,746.2234469,-26.894,581.225,370.8118197,368.1838055,367.5718224,436.9869704,435.1567427,72.942,52.004,8.36,1141.743093,6.3,395.3498866,82.55103333,712.7693699,849.7507357,63.5,15.0,13.4,13.23,12.23,11.96,16.40,12.83,13.48,473.9132736,470.3203926,357.8878559,
6/1/1980,881.0012048,834.037749,573.1546463,632.1650639,600.7256692,601.6186428,746.4198038,8.073,579.653,373.1579684,370.6006938,369.7839195,440.3054002,438.4523515,73.133,51.471,-2.50,1141.262619,7.333333333,391.0412376,77.8801,696.4135612,848.869769,54.4,12.7,9.6,10.23,10.33,10.48,16.32,13.1633,13.3567,473.4090966,468.6135237,367.6300672,
9/1/1980,880.8832424,835.128712,576.1878097,632.8191751,600.512334,594.1504574,745.0494019,-15.656,584.800,375.3636701,372.9125283,371.9861192,442.1647909,439.9375273,73.229,51.680,-1.97,1140.812775,7.666666667,389.340204,75.72893333,723.8496841,849.9850336,67.8,9.8,9.2,10.36,10.64,10.94,11.61,13.9833,13.1667,470.5694024,481.4350301,363.3190548,
12/1/1980,882.7306786,836.4707525,585.1287981,634.8871298,599.9048218,599.3739458,745.0273737,-33.555,590.784,377.9793622,375.3574213,374.393566,444.9295799,443.0022833,73.442,52.201,-3.88,1141.56066,7.4,393.1355588,78.5143,731.6548177,851.3533168,72.1,15.9,13.6,13.20,12.63,12.41,16.73,14.92,14.67,472.4782658,489.1350882,359.2735594,
3/1/1981,884.6712743,836.805191,582.694332,636.8984467,601.7680389,603.5534063,746.3559813,-32.053,596.395,380.5951126,377.9184706,376.5871359,447.6578952,445.3183829,73.249,53.009,4.78,1141.98887,7.433333333,393.3942997,78.0007,721.9886032,851.2140448,68.3,16.6,14.4,13.57,13.19,12.95,19.21,14.6167,15.2467,475.5459133,487.9260051,363.758616,
6/1/1981,883.9276691,836.8124576,579.4744731,638.9143421,602.307222,603.7008973,746.548071,16.243,597.399,382.4567894,379.5818723,378.4598641,449.7213711,447.5061501,73.144,52.325,-4.02,1142.252289,7.4,393.6782608,77.90046667,707.468115,851.3305645,73.9,17.8,14.9,14.69,14.18,13.74,18.93,15.01,15.77,481.7155717,488.8844237,361.9886583,
