YEAR,MONTH,foreign_born_pop,total_pop,foreign_born_share
1994,1,22324235.33,258421556,0.086386893
1994,2,22404867.28,258606204.2,0.086637006
1994,3,22273761.53,258798231.6,0.086066127
1994,4,22380480.6,259010694.4,0.086407554
1994,5,22204272.11,259249329.1,0.08564833
1994,6,21852837,259501319.9,0.08421089
1994,7,21451800.99,259710349.3,0.082598946
1994,8,21472635.27,259953933.8,0.082601694
1994,9,21671406.37,260206288.6,0.083285483
1994,10,21752761.25,260456275.5,0.0835179
1994,11,21919014.32,260672826.1,0.084086303
1994,12,22623513.17,260883000.1,0.086719001
1995,1,23301118.91,260837677.8,0.089331875
1995,2,24105908.22,260997368,0.092360733
1995,3,24625654.11,261155971.9,0.094294815
1995,4,24496892.14,261342500.9,0.093734819
1995,5,24089909.61,261550068.3,0.09210439
1995,6,23423626,261758092.5,0.089485776
1995,7,22914574.83,261962074.7,0.087472871
1995,8,22844331.42,262182905.7,0.087131277
1995,9,25550940.6,262410381.3,0.097370159
1995,10,24014048.35,262646533.9,0.09143105
1995,11,24458328.24,262831984.4,0.093056894
1995,12,24965728.69,263003506.2,0.09492546
1996,1,27147186.05,263183543.4,0.103149254
1996,2,27465983.39,263341634.2,0.104297915
1996,3,27773094.91,263510367.4,0.105396593
1996,4,27889750.08,263718804.6,0.105755637
1996,5,27504762.79,263924785.5,0.104214399
1996,6,27553250.59,264137329.4,0.104314111
1996,7,27232185.46,264341219.3,0.103019066
1996,8,27365340.02,264562160,0.103436334
1996,9,27543327.14,264780854.3,0.104023107
1996,10,27716786.25,264997963.8,0.10459245
1996,11,28015679.4,265185135.8,0.105645738
1996,12,27999839.67,265367299.5,0.105513527
1997,1,28680630.63,265618669.5,0.107976712
1997,2,28694795.62,265757209,0.107973724
1997,3,29188829.3,265920495.8,0.109765249
1997,4,29379310.92,266128553.8,0.110395185
1997,5,28906416.72,266313893.8,0.108542654
1997,6,28469715.65,266506996.2,0.106825397
1997,7,28155932.25,266698288.3,0.105572227
1997,8,28162937.4,266912814.2,0.105513621
1997,9,28512283.29,267131761.6,0.106734905
1997,10,28763098.15,267344281.2,0.107588231
1997,11,28881196.26,267531360.5,0.107954433
1997,12,28931535.58,267704801.6,0.108072531
1998,1,29304467.72,267974283,0.109355522
1998,2,29726050.31,268134520.7,0.110862452
1998,3,29577198.91,268293264.9,0.110242048
1998,4,30038690.94,268483294.3,0.111882905
1998,5,29562197.44,268666250.5,0.110033163
1998,6,29447540.18,268870163.9,0.109523272
1998,7,29392905.76,269066377.2,0.109240352
1998,8,29699364.42,269287094.9,0.110288852
1998,9,29939977.63,269524779.2,0.111084323
1998,10,30116461.11,269750182.7,0.111645749
1998,11,30359967.02,269942973.1,0.112468077
1998,12,29903554.12,270114457,0.110706974
1999,1,29996543.1,270654799.5,0.110829526
1999,2,29503747.49,270822884.6,0.108941117
1999,3,29219213.35,271002003.2,0.107819178
1999,4,29719692.23,271219470.7,0.109578019
1999,5,29480497.09,271430331.3,0.108611653
1999,6,29755047.31,271663765.1,0.109528951
1999,7,29680205.61,271885277.9,0.109164446
1999,8,29582936.24,272122057.3,0.108712012
1999,9,30085024.75,272376380.9,0.110453868
1999,10,30458366.41,272616077.1,0.11172623
1999,11,31056857.83,272819886,0.113836489
1999,12,31032742.53,273003777.9,0.113671477
2000,1,32476218.28,275566369.8,0.117852619
2000,2,32354526.04,275776458.9,0.117321566
2000,3,32215647.36,275999718,0.116723479
2000,4,32612105.96,276210774.9,0.118069637
2000,5,32487093.88,276441023.9,0.117519077
2000,6,32327140.59,276677279.9,0.116840604
2000,7,32521199.94,276902505.9,0.117446391
2000,8,32680424.51,277158476.9,0.117912412
2000,9,32838764.1,277424112.9,0.118370259
2000,10,33203918.97,277681895.9,0.119575383
2000,11,33932161.22,277844217,0.12212657
2000,12,33786392.23,278061960,0.121506704
2001,1,33801148.24,278234445,0.121484413
2001,2,33970627.94,278463055.1,0.121993303
2001,3,33801299.99,278664926.2,0.121297289
2001,4,31709926.29,275919185.6,0.114924688
2001,5,33671608.74,279111904.1,0.120638383
2001,6,31751648.11,276328004.7,0.114905647
2001,7,33462543.36,279587431.9,0.119685435
2001,8,33889767.27,279842170.9,0.121103146
2001,9,33988481.49,280103520.8,0.121342571
2001,10,34521863.01,280354981.9,0.123136257
2001,11,34789299.01,280583387.9,0.123989162
2001,12,35012622.7,280791804.9,0.124692466
2002,1,34833003.34,280990231.9,0.123965175
2002,2,34825753.44,281159530,0.123864745
2002,3,34798336.05,281328752.1,0.123692782
2002,4,34980317.68,281528073,0.124251615
2002,5,34837896.48,281733222.9,0.12365562
2002,6,35012852.51,282251332,0.124048493
2002,7,35334979.72,282497892.4,0.125080507
2002,8,34822252.8,282458147.9,0.123282876
2002,9,35123061.18,282718269.9,0.124233433
2002,10,35562256.9,282968492.9,0.125675677
2002,11,35590955.49,283195523.9,0.125676264
2002,12,36016874.23,283402530.9,0.127087342
2003,1,35650789.74,284659779.9,0.125239996
2003,2,35667028.56,284889601,0.125195965
2003,3,36239317.48,285109717.9,0.127106567
2003,4,36286112.62,285357843,0.127160033
2003,5,36683109.76,285592035,0.128445843
2003,6,36361139.25,285850037,0.127203549
2003,7,36195078.43,286101047,0.12651152
2003,8,36631262.32,286368669,0.127916446
2003,9,36835449.43,286656007,0.128500532
2003,10,37181314.94,286928574,0.12958387
2003,11,37291458.38,287188734,0.129850004
2003,12,36914478.97,287434830,0.128427299
2004,1,36306983.35,286997543,0.126506251
2004,2,36300544.33,287204530,0.126392659
2004,3,36475968.24,287408787,0.126913198
2004,4,36825442.03,287630619,0.128030326
2004,5,37168861.57,287850466,0.129125591
2004,6,36869597.94,288093038,0.127978094
2004,7,36744090.29,288332849,0.127436365
